// Name and Label MUST NOT exceed 23 characters (as marked)
//ID,   Name___________________,        Type,   Price,      Sell,       Weight,     ATK,    DEF,    Range,  Mbonus, Slot,   Gender, Loc,        wLV,    eLV,    View,   {UseScript},                                                            {EquipScript}
3501,    Loc1,                 5,      1,      1,       1,          0,      0,      0,      0,      0,      2,      1,          0,      0,      0,      {},  {}

3502,    Loc2,                 5,      1,      1,       1,          0,      0,      0,      0,      0,      2,      2,          0,      0,      0,      {},                                                                     {}

3503,    Loc4,                 5,      1,      1,       1,          0,      0,      0,      0,      0,      2,      4,          0,      0,      0,      {},                                                                     {}

3504,    Loc8,                 5,      1,      1,       1,          0,      0,      0,      0,      0,      2,      8,          0,      0,      0,      {},                                                                     {}

3505,    Loc16,                 5,      1,      1,       1,          0,      0,      0,      0,      0,      2,      16,          0,      0,      0,      {},                                                                     {}

3506,    Loc32,                 5,      1,      1,       1,          0,      0,      0,      0,      0,      2,      32,          0,      0,      0,      {},                                                                     {}

3507,    Loc64,                 5,      1,      1,       1,          0,      0,      0,      0,      0,      2,      64,          0,      0,      0,      {},                                                                     {}

3508,    Loc128,                 5,      1,      1,       1,          0,      0,      0,      0,      0,      2,      128,          0,      0,      0,      {},                                                                     {}

3509,    Loc256,                 5,      1,      1,       1,          0,      0,      0,      0,      0,      2,      256,          0,      0,      0,      {},                                                                     {}

3510,    Loc512,                 5,      1,      1,       1,          0,      0,      0,      0,      0,      2,      512,          0,      0,      0,      {},                                                                     {}

3511,    Loc1024,                 5,      1,      1,       1,          0,      0,      0,      0,      0,      2,      1024,          0,      0,      0,      {},                                                                     {}

3512,    Loc2048,                 5,      1,      1,       1,          0,      0,      0,      0,      0,      2,      2048,          0,      0,      0,      {},                                                                     {}

3513,    Loc4096,                 5,      1,      1,       1,          0,      0,      0,      0,      0,      2,      4096,          0,      0,      0,      {},                                                                     {}

3514,    Loc8192,                 5,      1,      1,       1,          0,      0,      0,      0,      0,      2,      81192,          0,      0,      0,      {},                                                                     {}

3515,    Loc16384,                 5,      1,      1,       1,          0,      0,      0,      0,      0,      2,      16348,          0,      0,      0,      {},                                                                     {}

3516,    Loc32768,                 5,      1,      1,       1,          0,      0,      0,      0,      0,      2,      32768,          0,      0,      0,      {},                                                                     {}

3517,    Loc65536,                 5,      1,      1,       1,          0,      0,      0,      0,      0,      2,      65536,          0,      0,      0,      {},                                                                     {}
